text,lat,lon
EDEN MILLS,44.7221,-72.4866
CENTERVILLE,44.6208,-72.6011
STOWE FORK,44.4912,-72.7394
BOWMAN CORNERS,44.5527,-73.0504
WESTFORD,44.6441,-73.0365
NORTH UNDERHILL,44.6333,-72.9371
UNDERHILL,44.5514,-73.0061
ESSEX CENTER,44.5309,-73.0168
ESSEX CENTER,44.53,-73.052
EAST SHELDON,44.8857,-72.8424
RICHFORD,45.0099,-72.6973
MISSISQUOI,45.0093,-72.5843
EAST ENOSBURG,44.8756,-72.6097
NORTH TROY,44.9975,-72.3933
FRUITVILLE,40.3759,-75.5187
FRUITVILLE,40.3661,-75.5253
NIANTIC,40.3815,-75.5672
FRUITVILLE,40.3999,-75.5549
HARMONY HILL,39.9896,-75.6949
HARMONY HILL,39.9916,-75.6882
WEST CHESTER,39.961,-75.6442
MARSHALLTON,39.9577,-75.6611
HARMONY HILL,39.9713,-75.6831
BRANDAMORE,40.0727,-75.8398
BRANDAMORE,40.0662,-75.8414
CAMBRIDGE,40.0658,-75.902
SUPLEE,40.0764,-75.8888
SUPLEE,40.0772,-75.8671
BALDWIN,43.8162,-73.4684
SOUTH SCHROON,43.8265,-73.7952
ELIZABETHTOWN,44.22,-73.6491
WADHAMS,44.2277,-73.4581
WILMINGTON,44.3865,-73.9309
CLINTONVILLE,44.4219,-73.54
BALDWIN,43.7987,-73.5005
OLMSTEDVILLE,43.7978,-73.935
SOUTH BURLINGTON,44.4587,-73.2092
COLCHESTER,44.5712,-73.1564
ESSEX CENTER,44.5286,-73.0289
WILLISTON,44.4213,-73.1231
SHELBURNE,44.3913,-73.2226
STARKSBORO,44.229,-73.051
STARKSBORO,44.2264,-73.057
CANYON,34.07,-112.15
BUMBLE BEE,34.1353,-111.8916
CAMP VERDE ARPT,34.4098,-111.8908
HUMBOLDT,34.4837,-112.222
MAYER,34.3546,-112.2948
(SOW)SHOW LOW MUNI A,34.27,-110
PINETOP,34.1595,-109.8159
COWETA,35.9611,-95.683
INOLA,36.0958,-95.5334
INOLA,36.1645,-95.5
PRYOR CREEK ARPT,36.2491,-95.3823
PRYOR,36.3,-95.3739
TORTILLA FLAT,33.4939,-111.0081
TORTILLA FLAT,33.5953,-111.0312
TORTILLA FLAT,33.5688,-111.1519
TORTILLA FLAT,33.4669,-111.1438
TORTILLA FLAT,33.5019,-111.2051
TORTILLA FLAT,33.5798,-111.2224
TORTILLA FLAT,33.5598,-111.3723
TORTILLA FLAT,33.4975,-111.3577
ROOSEVELT GRPVN ARPT,33.6075,-110.9728
ROOSEVELT GRPVN ARPT,33.638,-110.9774
ROOSEVELT GRPVN ARPT,33.6357,-111.0271
LOWELL,44.7762,-72.4518
WEST GLOVER,44.7173,-72.2053
HOLLAND,44.9914,-71.9173
CANAAN,44.9867,-71.5254
NORTON,44.9905,-71.7777
ISLAND POND,44.8515,-71.856
EAST BRIGHTON,44.731,-71.8005
BLOOMFIELD ARPT,44.8181,-71.583
WARREN,44.1147,-72.8578
WATERBURY ARPT,44.3833,-72.7712
MARSHFIELD,44.361,-72.3336
WEBSTERVILLE,44.1347,-72.4334
FAIRFAX,44.6895,-73.03
WEST FLETCHER,44.7073,-72.9514
BINGHAMVILLE,44.6853,-72.9063
BINGHAMVILLE,44.6372,-72.9373
FAIRFAX,44.6606,-73.0334
NORTH JETTY,29.37,-94.73
NORTH JETTY,29.4682,-94.6167
TEXAS CITY,29.2925,-94.8637
ALLENWOOD,40.1403,-74.1115
MONMOUTH CO ARPT,40.19,-74.12
NEPTUNE CITY,40.21,-74.07
CHADWICK,40.01,-74.06
BEACH HAVEN HGTS,39.51,-74.32
WHEELER RIDGE,35.0253,-118.9557
WHEELER RIDGE,35.0257,-118.959
WHEELER RIDGE,35.0155,-118.9555
WHEELER RIDGE,35.016,-118.954
DEMPSEY,34.52,-87.92
PLEASANT GROVE,34.54,-87.91
ELKMONT,34.94,-86.98
PALISADE,39.13,-108.41
PERRYVILLE,33.46,-112.44
MC MICKEN,33.4978,-112.4378
PERRYVILLE,33.4637,-112.4744
PERRYVILLE,33.4501,-112.4724
PERRYVILLE,33.4463,-112.4379
PHOENIX DEER VLY ARP,33.7268,-111.9696
CAVE CREEK,33.7567,-112.0004
PHOENIX DEER VLY ARP,33.7329,-112.013
PHOENIX DEER VLY ARP,33.7204,-111.988
PHOENIX DEER VLY ARP,33.667,-112.0468
PHOENIX DEER VLY ARP,33.6721,-112.046
PHOENIX DEER VLY ARP,33.6717,-112.0541
PHOENIX DEER VLY ARP,33.6671,-112.0533
PHOENIX TURF ARPT,33.612,-112.1049
PHOENIX TURF ARPT,33.6485,-112.1037
PHOENIX TURF ARPT,33.6509,-112.1337
PHOENIX TURF ARPT,33.6143,-112.134
CAVE CREEK,33.7991,-112.054
CAVE CREEK,33.8229,-112.0548
NEW RIVER,33.8239,-112.0821
CAVE CREEK,33.8001,-112.0816
NEW RIVER,33.8345,-112.1048
NEW RIVER,33.8355,-112.0829
NEW RIVER,33.8454,-112.0834
NEW RIVER,33.8441,-112.1044
NEW RIVER,33.8013,-112.1035
NEW RIVER,33.8346,-112.0934
NEW RIVER,33.8405,-112.1353
NEW RIVER,33.7999,-112.1307
NEW RIVER,33.7957,-112.1452
NEW RIVER,33.8041,-112.1457
NEW RIVER,33.8057,-112.1522
NEW RIVER,33.796,-112.155
PHOENIX DEER VLY ARP,33.7478,-112.099
PHOENIX DEER VLY ARP,33.7719,-112.1008
PHOENIX DEER VLY ARP,33.7733,-112.1218
PHOENIX DEER VLY ARP,33.7443,-112.1182
PHOENIX TURF ARPT,33.6219,-112.0679
PHOENIX TURF ARPT,33.6384,-112.0671
PHOENIX TURF ARPT,33.6388,-112.0941
PHOENIX TURF ARPT,33.6243,-112.0929
GOODYEAR ARPT,33.44,-112.41
WENDEN,33.58,-113.38
TONOPAH,33.61,-113.18
GOODYEAR,33.43,-112.36
PERRYVILLE,33.42,-112.5
PERRYVILLE,33.41,-112.46
OCONTO,44.9111,-87.8442
OCONTO,44.9116,-87.8422
OCONTO,44.896,-87.8307
OCONTO,44.8948,-87.8372
KEWAUNEE,44.4643,-87.5041
KEWAUNEE,44.4638,-87.5017
KEWAUNEE,44.4625,-87.4997
KEWAUNEE,44.4615,-87.5001
KEWAUNEE,44.4607,-87.5019
KEWAUNEE,44.4632,-87.5046
LOWER TAMPA BAY,27.663,-82.618
ULMERTON,27.86,-82.76
STUART,27.25,-80.17
CAPE CANAVERAL,28.4,-80.65
CEDAR KEY,29.1359,-83.0293
CEDAR KEY,29.1338,-83.0309
SAN CARLOS BAY,26.49,-81.96
CRYSTAL RIVER,28.87,-82.67
PORT CHARLOTTE,26.96,-82.08
CLEARWATER BEACH,28.1533,-82.8012
CLEARWATER BEACH,28.06,-82.81
HUDSON,28.4331,-82.6667
CLEARWATER BEACH,27.9777,-82.8321
CLEARWATER BEACH,27.86,-82.85
ST PETERSBURG BEACH,27.61,-82.76
LOWER TAMPA BAY,27.6,-82.65
MIDDLE TAMPA BAY,27.77,-82.57
OLD TAMPA BAY,27.8407,-82.5315
SARASOTA BEACH,27.173,-82.924
OLD TAMPA BAY,27.78,-82.63
SARASOTA BEACH,27.32,-82.6
VENICE,27.0725,-82.4528
VENICE,27.0728,-82.44
PORT CHARLOTTE,26.96,-82.08
SANIBEL,26.47,-82.05
PUNTA RASSA,26.54,-82
WINTER SPGS,28.7,-81.29
WINTER SPGS,28.6988,-81.3055
PONCE INLET,29.15,-80.97
PONCE INLET,29.076,-80.913
NEW SMYRNA BEACH,29.05,-80.9
PLAYALINDA BEACH,28.8,-80.74
PLAYALINDA BEACH,28.78,-80.8
NEW SMYRNA BEACH,29.03,-80.93
SHILOH,28.78,-80.8
OVIEDO,28.661,-81.2124
BRIDGEND,28.787,-81.136
VERO BEACH,27.701,-80.4359
STUART,27.27,-80.32
PORT ST LUCIE,27.28,-80.35
PORT ST LUCIE,27.27,-80.32
PORT ST LUCIE,27.24,-80.31
CRYSTAL RIVER,28.9,-82.65
BRKSVIL HERNNDO CO F,28.4739,-82.4537
TPA P O KNIGHT ARPT,27.91,-82.45
PUNTA RASSA,26.45,-82.03
FANNING SPRINGS,29.57,-82.91
DOUBLE SINK,29.52,-82.79
GULF HAMMOCK,29.25,-82.72
RED LEVEL,29.03,-82.72
LAKE STAFFORD,29.36,-82.54
GUNNELS,29.42,-82.45
BEVERLY HILLS,28.94,-82.46
NEW PORT RICHEY,28.25,-82.72
HOLIDAY,28.19,-82.74
WEST PARK,28.01,-82.51
EHREN,28.26,-82.46
WEST WINTER HAVEN,27.97,-81.75
CLARKWILD,28.08,-82.33
MANGO HILLS,27.97,-82.3
HIGHLAND CITY,27.96,-81.88
FOUNTAIN HGTS,27.99,-81.96
MANASOTA KEY,26.95,-82.35
LAKE PLACID,27.33,-81.41
JACK BROWNS SEAPORT,28.064,-81.766
WEEKI WACHEE,28.5,-82.54
FT PIERCE ST LUCIE A,27.49,-80.4
CAPE CANAVRAL MISL S,28.52,-80.64
MERRITT IS,28.353,-80.721
PLAYALINDA BEACH,28.53,-80.77
CAPE CANAVERAL,28.4,-80.65
CAPE CANAVERAL,28.4,-80.65
PLAYALINDA BEACH,28.64,-80.75
PLAYALINDA BEACH,28.8,-80.74
MELBOURNE,28.101,-80.612
MELBOURNE BEACH,28.06,-80.56
BUOY 41009,28.52,-80.17
ST. LUCIE INLET,27.5,-80.338
STUART,27.22,-80.2
PLAYALINDA BEACH,28.78,-80.8
PLAYALINDA BEACH,28.53,-80.77
PLAYALINDA BEACH,28.52,-80.64
PLAYALINDA BEACH,28.74,-80.7
STUART,27.224,-80.2023
BUOY 41009,28.52,-80.17
ROBERTS,44.93,-92.57
RIVER FALLS,44.8226,-92.6003
RIVER FALLS,44.7418,-92.7809
RIVER FALLS,44.7673,-92.7955
RIVER FALLS,44.8929,-92.7148
ROKEBY,40.74,-96.75
LANCASTER,40.76,-96.7
WEST LINCOLN,40.83,-96.7
LANCASTER,40.75,-96.7
LANCASTER,40.79,-96.67
POTEAU,35.0611,-94.6527
OCTAVIA,34.5272,-94.7011
PAWNEE,36.3388,-96.7972
PAWNEE,36.3611,-96.7699
CLEVELAND,36.3099,-96.4665
WYNONA,36.5767,-96.3162
BARNSDALL,36.5977,-96.2533
OKESA,36.6665,-96.1024
BARTLESVILLE,36.7457,-95.9794
BARTLESVILLE,36.7503,-95.9958
BARTLESVILLE,36.755,-95.9764
DEWEY,36.7465,-95.9023
COPAN,36.9099,-95.8855
LENAPAH,36.85,-95.5757
PYRAMID CORNERS,36.7754,-95.2209
AUGUSTA DANIEL ARPT,33.46,-82.06
DOUBLE BRANCHES,33.71,-82.34
PEACH ORCHARD,33.4194,-82.0754
WINK,31.75,-103.15
WINK,31.75,-103.15
WINK,31.75,-103.0309
GREENWOOD,32.0221,-101.8994
IRAAN MUNI ARPT,30.8402,-102.0402
SHEFFIELD,30.7385,-101.8405
FLUVANNA,32.879,-101.1377
FLUVANNA,32.8805,-101.1122
BAKERSFIELD,30.7519,-102.1601
BAKERSFIELD,30.752,-102.1448
SALE CITY,31.25,-84.07
COTTON,31.12,-84.08
CENTER HILL,31.08,-83.95
COLQUITT,31.1913,-84.7557
COLQUITT,31.1555,-84.7569
COLQUITT,31.1611,-84.7098
COLQUITT,31.1879,-84.715
JONES CROSSROADS,31.18,-84.94
BLAKELY,31.37,-84.93
ROWENA,31.43,-84.73
SHARPHAGEN,31.03,-84.81
MORGAN,31.51,-84.59
IRON CITY,30.98,-84.82
MACEDONIA,31.25,-84.65
BRONWOOD,31.83,-84.36
SHARPHAGEN,31.02,-84.83
CAMILLA,31.28,-84.27
WEST BAINBRIDGE,30.91,-84.57
COOLIDGE,31.02,-83.87
PINE PARK,30.87,-84.09
AUTREYVILLE,31.07,-83.7418
SPENCE FIELD,31.1145,-83.6742
MT IDAHO,45.9201,-116.0251
HARPSTER,45.9146,-115.9345
CLEARWATER,46.0873,-115.8598
LOWELL,46.1119,-115.6197
LOWELL,46.1984,-115.6535
KOOSKIA,46.1958,-115.9529
TRAMWAY,46.2699,-116.0462
TRAMWAY,46.2318,-116.1049
CAIRO,36.9862,-89.1382
CAIRO,36.9759,-89.1675
URBANDALE,37.0456,-89.1934
URBANDALE,37.0529,-89.18
MOUND CITY,37.08,-89.17
MOUND CITY,37.0761,-89.1583
NEW GRAND CHAIN,37.2166,-89.0026
NEW GRAND CHAIN,37.238,-89.0137
OLMSTED,37.1761,-89.0918
THEBES,37.22,-89.47
FAYVILLE,37.1593,-89.4356
MILLER CITY,37.12,-89.3936
MILLER CITY,37.1307,-89.3644
THEBES JCT,37.2101,-89.45
MT CARBON,37.75,-89.33
MT CARBON,37.75,-89.3703
MT CARBON,37.7611,-89.3638
MT CARBON,37.7551,-89.3365
HOLLOWAY,37.0567,-89.1667
OSCAR,37.1488,-89.087
MONKEYS EYEBROW,37.2176,-88.98
BANDANA,37.1705,-88.9757
EAST CAIRO,36.9893,-89.1341
EAST CAIRO,37.0272,-89.1718
(CGI)CAPE GIRARDEAU,37.23,-89.57
GULF JCT,37.2512,-89.4929
CAPE GIRARDEAU,37.284,-89.5217
GULF JCT,37.2743,-89.55
SCOTT CITY,37.25,-89.52
COMMERCE,37.15,-89.45
LUSK,37.0755,-89.4036
LUSK,37.0807,-89.38
ILLMO,37.23,-89.4698
MAUNIE,38.03,-88.05
PHILLIPSTOWN,38.1478,-88.037
NORTH ZULCH,30.92,-96.11
NORTH ZULCH,30.9134,-96.0954
NORTH ZULCH,30.9232,-96.1051
NORTH ZULCH,30.9173,-96.1222
NORTH ZULCH,30.9048,-96.1185
OKALOOSA PIER,30.3921,-86.5931
DOG RIVER BRIDGE,30.5816,-88.0715
ESCAMBIA BAY,30.4645,-87.1603
PENSACOLA BAY BRIDGE,30.3565,-87.1527
RUNNELSTOWN,31.38,-89.12
RICHTON,31.35,-88.95
SAND HILL,31.3634,-88.7635
BENNDALE,30.87,-88.8
PLAINFIELD CLOW ARPT,41.7,-88.12
RIDGEWOOD,41.5294,-88.0384
RIDGEWOOD,41.5306,-88.038
RIDGEWOOD,41.5335,-88.0303
RIDGEWOOD,41.5327,-88.0216
RIDGEWOOD,41.5308,-88.0221
RIDGEWOOD,41.5287,-88.0319
BELK,35.83,-85.7
ROCK IS,35.78,-85.62
GLADEVILLE,36.1415,-86.4072
COALMONT,35.33,-85.72
MONTEAGLE,35.25,-85.83
SANDERS CROSSING,35.3022,-85.7495
GRUETLI,35.37,-85.67
BON AQUA,35.95,-87.33
LAWRENCEBURG,35.25,-87.4186
LOWELL,43.8846,-122.7989
LOWELL,43.9273,-122.7653
OAKRIDGE,43.7723,-122.4701
WESTFIR,43.7211,-122.5336
FIRO,44.0683,-123.8917
FIRO,44.0626,-123.8683
MAPLETON,44.0397,-123.8523
MAPLETON,44.033,-123.8759
FIRO,44.0495,-123.8959
ESTACADA ARPT,45.2991,-122.3403
CURRINSVILLE,45.3167,-122.3589
VIOLA,45.3049,-122.3887
ESTACADA,45.2827,-122.3699
JASPER,44.0026,-122.9056
JASPER,43.9934,-122.8929
JASPER,43.9871,-122.9074
JASPER,43.9982,-122.9165
YARNELL,44.0894,-122.9504
YARNELL,44.0966,-122.9512
YARNELL,44.0966,-122.9634
YARNELL,44.0878,-122.9641
GOSHEN,43.9871,-122.9683
PLEASANT HILL,43.9827,-122.9557
GOSHEN,43.9694,-122.9673
GOSHEN,43.9757,-122.9791
MONROE,44.3151,-123.3008
MONROE,44.3089,-123.299
MONROE,44.3106,-123.2888
MONROE,44.3168,-123.2928
HARRISBURG,44.2752,-123.1801
HARRISBURG,44.2762,-123.1692
HARRISBURG,44.2655,-123.1702
HARRISBURG,44.265,-123.1791
PAGE,44.6362,-123.1132
PAGE,44.6444,-123.1146
ALBANY,44.6453,-123.0967
ALBANY,44.6376,-123.0958
CORVALLIS,44.5758,-123.2585
CORVALLIS,44.573,-123.2442
CORVALLIS,44.5581,-123.2529
CORVALLIS,44.5606,-123.2672
AURORA,45.2356,-122.7538
AURORA,45.231,-122.7529
AURORA,45.2314,-122.7414
AURORA,45.2367,-122.744
JEFFERSON,44.7185,-123.0194
JEFFERSON,44.7078,-123.0208
JEFFERSON,44.7079,-123.0029
JEFFERSON,44.7224,-123.0063
WALDEN,43.7833,-122.9743
WALDEN,43.774,-123.0113
COTTAGE GROVE,43.7993,-123.0485
WALKER,43.8452,-123.066
WALKER,43.8735,-123.0441
WILLIAMSTON,34.62,-82.48
MAULDIN,34.772,-82.296
CHESNEE,35.15,-81.86
GRASSY POND,35.14,-81.81
GREENWOOD,34.19,-82.17
FT MILL,35.01,-80.98
BESSEMER CITY,35.28,-81.29
BELMONT SOUTH,35.224,-81.038
FIGHTING PINE,34.58,-83.27
WESTMINSTER,34.68,-83.15
BREVARD,35.234,-82.735
BREVARD,35.229,-82.731
BREVARD,35.236,-82.744
SELICA,35.202,-82.781
SELICA,35.194,-82.772
ELLIOTT CORNER,37.47,-119.74
RAVENNA,37.6741,-83.9303
RAVENNA,37.674,-83.929
RAVENNA,37.6742,-83.9293
RAVENNA,37.6744,-83.9303
STANTON,37.8653,-83.8861
STANTON,37.8652,-83.886
STANTON,37.8652,-83.8854
STANTON,37.8653,-83.8854
BORDEN,36.9478,-120.0463
BORDEN,36.9482,-120.0457
BORDEN,36.9497,-120.0472
BORDEN,36.9491,-120.0479
GARLOCK,35.39,-117.8
GARLOCK,35.3933,-117.8014
GARLOCK,35.3948,-117.7975
GARLOCK,35.393,-117.795
FORD CITY,35.1549,-119.4529
FORD CITY,35.1559,-119.4528
FORD CITY,35.156,-119.4522
FORD CITY,35.1549,-119.4522
OLIVE HILL ARPT,38.2705,-83.1626
JACOBS,38.2275,-83.2464
ROSE HILL,38.3333,-83.2225
WESTWOOD,38.4935,-82.6723
KILGORE,38.3755,-82.8089
KILGORE,38.3617,-82.7696
GARNER,38.2483,-82.7899
DURBIN,38.2787,-82.5933
SAVAGE BRANCH,38.3459,-82.6042
ASHLAND,38.4509,-82.6231
HUNNEWELL,38.382,-82.8251
SAMARIA,38.4249,-83.0028
BRUSHART,38.5129,-83.1315
FULLERTON,38.7205,-82.99
RIVERTON,38.571,-82.8314
KENWOOD,38.505,-82.677
LOUISA,38.1,-82.61
FALLSBURG,38.1736,-82.6678
TUSCOLA,38.1623,-82.7526
WALBRIDGE,38.0717,-82.627
GLENDALE,38.5769,-82.742
FIREBRICK,38.82,-82.6364
OLIVE FURNACE,38.7696,-82.5918
POLKADOTTE,38.5775,-82.3646
ROME,38.4616,-82.3373
BURLINGTON,38.4065,-82.5547
WILLIAMSTON HRRS ARP,35.77,-77.06
CALYPSO,35.15,-78.1
JACKSONVILLE,34.7295,-77.4449
AYDEN,35.47,-77.3945
MAYSVILLE,34.9,-77.23
WASHINGTON,35.5398,-77.0626
FT LNDG,35.91,-76.1
HAT BLLY MTCHLL ARPT,35.24,-75.62
AVON,35.35,-75.5
EVERETTS,35.81,-77.18
(EWN)SIMMONS NOT APT,35.07,-77.04
BEAUFORT MOOREHD ARP,34.73,-76.66
OCRACOKE,35.11,-75.98
WANCHESE,35.77,-75.53
WAVES,35.57,-75.47
SILVER SPGS AIRPARK,29.21,-82.06
YORK,29.11,-82.26
OCALA ARPT,29.21,-82.22
OCALA ARPT,29.14,-82.19
CODYS CORNER,29.34,-81.31
SIMPSON YARD,30.31,-81.71
EGGLESTON HGTS,30.35,-81.59
OCALA ARPT,29.17,-82.22
PYLES MARSH,31.14,-81.47
SESSOMS STATION,31.64,-82.61
ALPINE,39.55,-85.18
EVERTON,39.56,-85.09
TAYLOR MILL,38.96,-84.47
NEW BOSTON,39.88,-92.86
BUCKLIN,39.84,-92.92
ETHEL,39.89,-92.8
CALLAO,39.77,-92.6
BLUE RIDGE,40.17,-93.93
ASPERMONT ARPT,33.0561,-100.2176
ASPERMONT ARPT,33.0685,-100.2168
PADUCAH,34.01,-100.3
WOLVERTON,46.63,-96.76
LAWNDALE,46.63,-96.29
NASHUA,46.02,-96.29
TENNEY,46.02,-96.54
BRECKENRIDGE,46.33,-96.58
GEORGETOWN,47.15,-96.82
ULEN,47.15,-96.31
ROLLAG,46.63,-96.25
COMSTOCK,46.63,-96.78
KRAGNES,46.93,-96.75
SHELLY,47.5,-96.85
FLAMING,47.5,-96.29
SYRE,47.15,-96.27
PERLEY,47.15,-96.82
PHILLIPSTOWN,38.1485,-87.9398
MAUNIE,38.0505,-87.9928
SAVAH,38.0734,-87.9551
NEW HARMONY,38.0779,-87.9584
NEW HARMONY,38.1016,-87.9571
NEW HARMONY,38.1228,-87.9464
NEW HARMONY,38.1217,-87.9358
UNIONTOWN,37.8053,-87.8859
UNIONTOWN,37.8097,-87.9013
UNIONTOWN,37.7823,-87.9363
UNIONTOWN,37.7817,-87.9264
PARADISE,37.27,-86.98
PARADISE,37.2613,-86.987
MARTWICK,37.3102,-87.0046
MARTWICK,37.3074,-86.9911
CALHOUN,37.53,-87.27
LIVERMORE,37.4723,-87.133
LIVERMORE,37.4837,-87.1293
CALHOUN,37.5276,-87.2403
NEW MADRID,36.5777,-89.5295
BAYOUVILLE,36.5858,-89.3848
NEW MADRID,36.5048,-89.4122
LINDA,36.4736,-89.4575
SHAWNEETOWN,37.7,-88.13
SHAWNEETOWN,37.7592,-88.0443
SHAWNEETOWN,37.7514,-88.0465
SHAWNEETOWN,37.7101,-88.1017
CARMI MUNI ARPT,38.0806,-88.1381
CARMI,38.0431,-88.1504
BROWNSVILLE,38.0335,-88.2002
TRUMBULL,38.0606,-88.2033
CARMI,38.0762,-88.1656
MT CARMEL,38.42,-87.77
MT CARMEL,38.4233,-87.7433
PATTON,38.4496,-87.7345
PATTON,38.4553,-87.7592
MAUNIE,38.03,-88.05
MAUNIE,38.0378,-88.0891
PHILLIPSTOWN,38.1561,-88.039
PHILLIPSTOWN,38.1581,-87.948
EAST MT CARMEL,38.4,-87.73
CRAWLEYVILLE,38.2757,-87.8121
CRAWLEYVILLE,38.2873,-87.8325
SKELTON,38.3487,-87.8159
EAST MT CARMEL,38.3982,-87.7479
NEW HARMONY,38.13,-87.93
NEW HARMONY,38.076,-87.9491
NEW HARMONY,38.0788,-87.9566
NEW HARMONY,38.1039,-87.9562
NEW HARMONY,38.1322,-87.9411
HAZLETON,38.48,-87.53
HAZLETON,38.4943,-87.5378
HAZLETON,38.4986,-87.5057
GIRO,38.5065,-87.4834
GIRO,38.4906,-87.4874
PETERSBURG,38.5,-87.28
PETERSBURG,38.5105,-87.2901
PETERSBURG,38.5397,-87.23
ALGIERS,38.5454,-87.1912
IVY,38.5145,-87.1411
NEWBURGH,37.9373,-87.3942
NEWBURGH,37.9441,-87.383
YANKEETOWN,37.9155,-87.3307
YANKEETOWN,37.906,-87.3268
MT VERNON,37.93,-87.9
HOVEY,37.8702,-87.9629
HOVEY,37.8839,-87.9591
MT VERNON,37.9236,-87.9121
MACEDONIA,38.07,-88.71
EWING,38.0643,-88.8212
BENTON,38,-88.92
HANAFORD,37.95,-88.83
AKIN,37.98,-88.75
PLUMFIELD,37.88,-89
REND CITY,38.0292,-88.9415
REND CITY,38.03,-88.98
URBAIN,37.9491,-89.0336
ROYALTON,37.8696,-89.0778
ZEIGLER,37.8625,-89.0456
GREENVILLE,37.1188,-90.4873
GREENVILLE,37.121,-90.4521
LODI,37.2223,-90.4874
PATTERSON,37.2303,-90.5319
ALTENBURG,37.63,-89.58
LITHIUM,37.83,-89.88
SILVER LAKE,37.68,-90
BIEHLE,37.6,-89.85
MILLERS MILLS,42.96,-75.06
COBLESKILL,42.67,-74.48
HAWTHORNE HILL,42.8,-73.88
ROBERTA MILLS,35.423,-80.729
ROBERTA MILLS,35.403,-80.743
CONCORD,35.411,-80.603
KANNAPOLIS,35.499,-80.608
KANNAPOLIS,35.498,-80.639
GLASS,35.434,-80.655
OAK HILL,35.778,-81.757
MORGANTON,35.772,-81.687
CALVIN,35.755,-81.765
DREXEL,35.746,-81.617
